userid,version,sum_gamerounds,retention_1,retention_7
1,gate_40,240,0,0
2,gate_30,384,1,0
3,gate_30,190,0,0
4,gate_40,117,0,1
5,gate_30,288,0,0
6,gate_30,147,0,0
7,gate_40,281,0,0
8,gate_30,338,0,0
9,gate_30,266,0,1
10,gate_40,351,0,0
11,gate_40,508,0,0
12,gate_30,237,1,0
13,gate_30,411,0,0
14,gate_30,342,1,0
15,gate_40,556,0,0
16,gate_40,463,1,0
17,gate_40,161,0,0
18,gate_40,140,0,0
19,gate_30,182,1,0
20,gate_30,79,0,0
21,gate_40,331,0,0
22,gate_30,353,1,0
23,gate_40,376,1,0
24,gate_30,111,1,1
25,gate_30,157,1,0
26,gate_30,142,1,0
27,gate_40,254,1,0
28,gate_40,150,1,0
29,gate_30,217,0,0
30,gate_30,147,0,0
31,gate_40,403,0,0
32,gate_40,341,1,0
33,gate_30,182,1,0
34,gate_30,268,0,1
35,gate_40,187,1,0
36,gate_30,126,0,1
37,gate_30,288,1,0
38,gate_40,343,1,0
39,gate_40,117,1,1
40,gate_30,214,0,1
41,gate_30,477,0,0
42,gate_30,207,1,0
43,gate_40,154,1,0
44,gate_30,223,1,0
45,gate_40,210,1,0
46,gate_30,71,1,0
47,gate_40,582,1,1
48,gate_30,255,0,0
49,gate_40,276,1,1
50,gate_40,282,0,0
51,gate_30,290,0,0
52,gate_30,213,0,0
53,gate_40,358,1,1
54,gate_30,260,1,0
55,gate_40,238,0,0
56,gate_30,655,1,1
57,gate_30,358,1,0
58,gate_30,273,0,0
59,gate_40,60,0,0
60,gate_30,97,1,1
61,gate_40,443,1,0
62,gate_40,238,0,0
63,gate_40,543,0,1
64,gate_40,108,1,0
65,gate_40,364,1,0
66,gate_40,200,1,0
67,gate_30,294,1,0
68,gate_30,193,0,0
69,gate_40,161,0,1
70,gate_40,313,1,0
71,gate_40,199,1,0
72,gate_30,236,0,0
73,gate_40,487,1,0
74,gate_40,231,0,1
75,gate_30,121,0,0
76,gate_40,233,0,0
77,gate_40,205,1,0
78,gate_30,228,0,0
79,gate_40,150,0,1
80,gate_30,114,1,1
81,gate_30,179,1,0
82,gate_40,126,1,0
83,gate_40,203,0,0
84,gate_40,202,0,0
85,gate_30,158,1,0
86,gate_30,337,0,0
87,gate_40,273,0,0
88,gate_40,341,0,0
89,gate_30,130,0,0
90,gate_40,316,1,0
91,gate_30,93,0,0
92,gate_40,117,0,0
93,gate_40,273,1,0
94,gate_30,270,1,0
95,gate_30,229,1,0
96,gate_30,95,0,0
97,gate_40,510,1,0
98,gate_30,160,1,1
99,gate_30,151,0,0
100,gate_40,307,1,0
101,gate_30,255,1,0
102,gate_30,142,1,1
103,gate_40,244,1,0
104,gate_30,350,1,0
105,gate_30,111,0,0
106,gate_30,155,1,1
107,gate_30,241,0,0
108,gate_30,76,1,0
109,gate_40,124,0,0
110,gate_40,199,1,0
111,gate_30,368,1,0
112,gate_40,328,1,0
113,gate_30,199,0,0
114,gate_40,173,1,0
115,gate_30,384,0,0
116,gate_40,203,1,1
117,gate_40,561,1,0
118,gate_40,138,1,0
119,gate_30,104,1,0
120,gate_30,116,1,0
121,gate_40,505,1,0
122,gate_30,170,0,0
123,gate_30,249,1,1
124,gate_30,215,1,0
125,gate_40,380,1,0
126,gate_30,287,1,0
127,gate_40,89,0,1
128,gate_40,164,1,0
129,gate_30,225,1,0
130,gate_30,47,0,0
131,gate_40,226,1,0
132,gate_40,327,0,0
133,gate_30,73,0,1
134,gate_40,574,0,0
135,gate_40,371,1,0
136,gate_40,238,1,1
137,gate_30,283,1,0
138,gate_40,265,1,0
139,gate_30,135,1,0
140,gate_30,190,0,0
141,gate_30,164,0,0
142,gate_40,245,0,0
143,gate_40,132,0,0
144,gate_30,97,0,1
145,gate_40,199,1,1
146,gate_30,166,1,0
147,gate_40,142,1,0
148,gate_40,454,0,0
149,gate_40,277,0,0
150,gate_40,314,1,0
151,gate_40,236,1,1
152,gate_40,155,1,0
153,gate_40,222,1,1
154,gate_30,154,0,0
155,gate_40,170,1,0
156,gate_30,557,0,0
157,gate_40,180,0,0
158,gate_30,243,0,0
159,gate_40,166,0,0
160,gate_30,134,1,0
161,gate_30,144,0,0
162,gate_40,221,0,0
163,gate_40,229,1,0
164,gate_30,309,1,0
165,gate_30,486,0,0
166,gate_40,298,0,0
167,gate_40,351,1,0
168,gate_40,293,1,0
169,gate_40,191,0,1
170,gate_30,153,0,0
171,gate_40,122,0,0
172,gate_30,164,1,0
173,gate_40,208,1,0
174,gate_40,254,0,0
175,gate_30,291,0,1
176,gate_30,282,0,0
177,gate_30,363,0,0
178,gate_40,227,1,0
179,gate_40,240,0,0
180,gate_30,209,1,0
181,gate_40,180,1,0
182,gate_30,136,0,0
183,gate_30,397,1,0
184,gate_40,194,0,0
185,gate_40,108,1,0
186,gate_30,199,0,0
187,gate_40,146,1,0
188,gate_30,124,1,0
189,gate_40,172,0,0
190,gate_40,172,0,0
191,gate_30,93,1,0
192,gate_40,74,1,0
193,gate_30,153,1,0
194,gate_40,166,1,0
195,gate_30,154,1,0
196,gate_30,268,1,1
197,gate_30,273,0,0
198,gate_30,373,0,0
199,gate_40,118,0,0
200,gate_30,122,1,0
201,gate_30,256,0,0
202,gate_30,347,0,1
203,gate_40,208,1,0
204,gate_30,199,1,0
205,gate_40,362,1,0
206,gate_40,131,1,0
207,gate_30,319,0,0
208,gate_30,286,1,0
209,gate_40,300,1,1
210,gate_40,209,1,0
211,gate_30,61,1,0
212,gate_40,465,1,0
213,gate_40,268,0,1
214,gate_40,190,1,0
215,gate_40,352,1,0
216,gate_30,339,1,0
217,gate_40,392,0,0
218,gate_40,128,1,0
219,gate_30,291,1,0
220,gate_40,324,1,0
221,gate_30,96,0,0
222,gate_30,109,0,0
223,gate_30,126,0,1
224,gate_30,71,0,1
225,gate_40,107,1,0
226,gate_40,400,1,0
227,gate_30,293,0,0
228,gate_40,271,0,0
229,gate_40,139,1,0
230,gate_40,106,0,0
231,gate_30,181,1,0
232,gate_30,55,1,0
233,gate_40,252,0,0
234,gate_40,227,1,0
235,gate_30,149,0,1
236,gate_30,391,0,0
237,gate_40,235,0,1
238,gate_30,220,0,0
239,gate_30,126,0,0
240,gate_40,359,1,0
241,gate_40,373,1,0
242,gate_30,92,0,0
243,gate_40,152,1,1
244,gate_30,339,0,1
245,gate_40,348,0,0
246,gate_40,268,1,0
247,gate_40,205,0,0
248,gate_40,495,1,1
249,gate_40,68,1,1
250,gate_40,219,0,1
251,gate_30,189,1,1
252,gate_40,175,1,0
253,gate_30,243,0,0
254,gate_40,302,0,0
255,gate_40,154,0,0
256,gate_30,159,0,0
257,gate_30,163,1,0
258,gate_40,328,1,0
259,gate_40,160,0,0
260,gate_40,63,1,0
261,gate_40,130,0,0
262,gate_30,161,0,0
263,gate_40,170,1,1
264,gate_40,280,1,0
265,gate_40,89,0,0
266,gate_30,303,0,0
267,gate_40,352,1,0
268,gate_40,382,0,0
269,gate_40,164,0,0
270,gate_40,130,1,0
271,gate_30,38,0,1
272,gate_40,122,1,0
273,gate_40,224,0,0
274,gate_40,266,1,0
275,gate_40,214,0,1
276,gate_30,83,1,0
277,gate_40,197,0,0
278,gate_40,336,1,0
279,gate_30,101,0,0
280,gate_40,317,0,0
281,gate_30,295,0,0
282,gate_30,320,0,0
283,gate_30,169,0,0
284,gate_40,240,0,0
285,gate_40,91,1,1
286,gate_40,297,1,0
287,gate_30,164,1,0
288,gate_30,129,1,0
289,gate_30,370,1,1
290,gate_30,83,1,1
291,gate_40,80,1,0
292,gate_40,286,0,0
293,gate_40,111,0,0
294,gate_40,395,1,0
295,gate_30,313,0,0
296,gate_30,444,0,0
297,gate_30,105,1,1
298,gate_40,164,1,0
299,gate_30,91,1,0
300,gate_30,95,1,0
301,gate_40,435,0,0
302,gate_30,374,0,0
303,gate_30,313,0,0
304,gate_40,212,0,0
305,gate_40,340,0,0
306,gate_30,231,1,1
307,gate_40,317,1,0
308,gate_40,304,0,0
309,gate_30,258,1,1
310,gate_30,205,1,1
311,gate_30,301,1,0
312,gate_40,97,0,0
313,gate_40,246,0,0
314,gate_40,214,1,0
315,gate_40,176,0,0
316,gate_30,158,0,0
317,gate_30,274,0,0
318,gate_40,215,0,0
319,gate_40,157,0,0
320,gate_40,187,0,1
321,gate_30,257,0,0
322,gate_30,347,0,1
323,gate_30,311,0,1
324,gate_30,172,1,0
325,gate_30,224,1,0
326,gate_40,250,1,0
327,gate_40,182,0,0
328,gate_30,125,1,1
329,gate_40,215,1,0
330,gate_40,416,0,0
331,gate_40,213,1,1
332,gate_30,146,0,0
333,gate_40,236,0,1
334,gate_30,159,1,0
335,gate_40,164,0,0
336,gate_40,249,0,0
337,gate_40,304,0,0
338,gate_30,96,0,0
339,gate_30,207,1,0
340,gate_30,295,1,1
341,gate_30,236,0,0
342,gate_30,525,0,1
343,gate_40,167,1,1
344,gate_30,406,1,0
345,gate_40,241,1,0
346,gate_40,94,1,0
347,gate_40,210,1,0
348,gate_40,240,1,0
349,gate_30,231,0,0
350,gate_40,242,0,0
351,gate_30,272,0,0
352,gate_30,271,1,0
353,gate_30,204,0,0
354,gate_40,205,0,0
355,gate_40,182,1,0
356,gate_40,167,0,1
357,gate_30,62,1,0
358,gate_40,257,1,0
359,gate_30,350,1,0
360,gate_30,91,0,0
361,gate_30,285,0,1
362,gate_30,197,0,1
363,gate_30,268,1,1
364,gate_30,282,0,0
365,gate_40,431,0,1
366,gate_30,155,1,1
367,gate_30,450,1,0
368,gate_30,90,1,0
369,gate_30,137,1,0
370,gate_40,327,0,0
371,gate_30,211,0,0
372,gate_30,430,1,0
373,gate_40,116,0,0
374,gate_30,395,1,0
375,gate_40,165,0,0
376,gate_30,125,0,0
377,gate_40,388,1,0
378,gate_30,234,1,0
379,gate_30,149,0,0
380,gate_40,191,0,0
381,gate_30,239,1,0
382,gate_40,209,0,0
383,gate_30,182,0,0
384,gate_30,157,0,0
385,gate_30,208,0,0
386,gate_40,164,0,0
387,gate_40,314,0,0
388,gate_30,109,0,1
389,gate_30,230,1,0
390,gate_30,152,1,1
391,gate_40,195,1,0
392,gate_30,277,1,0
393,gate_40,59,0,0
394,gate_40,208,0,0
395,gate_30,251,1,0
396,gate_40,408,1,0
397,gate_30,234,0,0
398,gate_30,246,1,1
399,gate_30,294,1,0
400,gate_40,442,1,1
401,gate_40,264,1,0
402,gate_40,234,1,1
403,gate_40,329,0,0
404,gate_30,170,1,0
405,gate_40,207,1,1
406,gate_30,137,0,1
407,gate_30,235,0,0
408,gate_40,266,1,0
409,gate_30,350,1,1
410,gate_40,209,0,0
411,gate_40,314,1,0
412,gate_30,165,0,0
413,gate_30,104,1,0
414,gate_30,243,0,0
415,gate_30,437,1,0
416,gate_30,161,1,0
417,gate_30,183,1,0
418,gate_30,365,1,1
419,gate_40,203,1,0
420,gate_30,71,1,1
421,gate_30,684,0,0
422,gate_30,219,0,0
423,gate_40,343,0,0
424,gate_30,251,0,0
425,gate_40,284,0,0
426,gate_40,164,1,0
427,gate_40,52,0,0
428,gate_40,139,1,0
429,gate_30,217,1,0
430,gate_30,399,0,0
431,gate_40,314,1,0
432,gate_30,190,0,0
433,gate_40,280,0,0
434,gate_30,131,0,0
435,gate_40,260,0,0
436,gate_30,255,1,0
437,gate_40,241,1,0
438,gate_30,164,0,1
439,gate_40,197,1,0
440,gate_30,319,0,0
441,gate_30,164,1,0
442,gate_40,311,1,0
443,gate_40,160,1,1
444,gate_40,97,0,0
445,gate_30,215,0,0
446,gate_30,108,1,0
447,gate_40,138,1,0
448,gate_30,119,1,1
449,gate_40,243,1,1
450,gate_40,181,0,0
