transaction_id,player_id,transaction_date,item_name,item_category,price_usd,platform,country
TXN00010185,P092346,2024-01-01,rare_chest,lootbox,1.5,iOS,JP
TXN00004669,P042497,2024-01-01,gem_pack_small,currency,0.99,Android,KR
TXN00010189,P092346,2024-01-01,gem_pack_medium,currency,4.99,iOS,JP
TXN00013376,P120102,2024-01-01,gem_pack_large,currency,7.99,Android,BR
TXN00006760,P061862,2024-01-02,gem_pack_medium,currency,4.99,iOS,US
TXN00009818,P089700,2024-01-02,energy_refill,consumable,0.99,iOS,US
TXN00009875,P090149,2024-01-02,battle_pass,subscription,9.99,iOS,BR
TXN00009871,P090149,2024-01-02,gem_pack_small,currency,0.99,iOS,BR
TXN00024719,P222082,2024-01-02,gem_pack_medium,currency,3.99,Android,JP
TXN00010188,P092346,2024-01-02,epic_chest,lootbox,7.99,iOS,JP
TXN00007868,P072563,2024-01-03,gem_pack_medium,currency,3.99,Android,US
TXN00013570,P122417,2024-01-03,battle_pass,subscription,7.99,iOS,IN
TXN00010356,P093594,2024-01-03,starter_bundle,bundle,2.39,Android,FR
TXN00009872,P090149,2024-01-03,energy_refill,consumable,0.79,iOS,BR
TXN00024212,P217659,2024-01-03,vip_pass,subscription,14.99,iOS,FR
TXN00031559,P281955,2024-01-03,extra_lives,consumable,1.99,iOS,CA
TXN00005706,P052559,2024-01-03,gem_pack_mega,currency,49.99,iOS,US
TXN00009876,P090149,2024-01-03,gem_pack_small,currency,0.79,iOS,BR
TXN00009878,P090149,2024-01-03,starter_bundle,bundle,2.99,iOS,BR
TXN00022603,P203653,2024-01-03,gem_pack_ultra,currency,99.99,Android,IN
TXN00032263,P288718,2024-01-03,shield_pack,consumable,3.19,iOS,DE
TXN00010354,P093594,2024-01-03,gem_pack_medium,currency,4.99,Android,FR
TXN00018611,P168159,2024-01-04,gem_pack_medium,currency,4.99,iOS,JP
TXN00032084,P287565,2024-01-04,cosmetic_skin_1,cosmetic,3.99,Android,KR
TXN00005255,P048135,2024-01-04,gem_pack_medium,currency,4.99,iOS,UK
TXN00010812,P097905,2024-01-04,weekly_bundle,bundle,4.99,Android,DE
TXN00015086,P136742,2024-01-04,battle_pass,subscription,9.99,iOS,BR
TXN00011823,P106878,2024-01-04,gem_pack_large,currency,9.99,Android,ID
TXN00015085,P136742,2024-01-04,monthly_bundle,bundle,9.99,iOS,BR
TXN00011824,P106878,2024-01-04,gem_pack_large,currency,9.99,Android,ID
TXN00032266,P288718,2024-01-04,epic_chest,lootbox,7.99,iOS,DE
TXN00025626,P229629,2024-01-04,starter_bundle,bundle,2.99,Android,BR
TXN00030820,P276199,2024-01-04,rare_chest,lootbox,2.99,Android,CN
TXN00017082,P154220,2024-01-04,gem_pack_large,currency,9.99,Android,KR
TXN00031378,P280531,2024-01-04,extra_lives,consumable,1.99,Android,MX
TXN00008897,P081662,2024-01-04,battle_pass,subscription,9.99,Android,IN
TXN00006762,P061862,2024-01-04,cosmetic_skin_1,cosmetic,4.99,iOS,US
TXN00010355,P093594,2024-01-04,gem_pack_mega,currency,49.99,Android,FR
TXN00025629,P229629,2024-01-04,cosmetic_skin_2,cosmetic,7.99,Android,BR
TXN00025627,P229629,2024-01-04,monthly_bundle,bundle,9.99,Android,BR
TXN00028717,P257226,2024-01-04,weekly_bundle,bundle,4.99,Android,UK
TXN00021230,P190991,2024-01-05,gem_pack_large,currency,9.99,Android,UK
TXN00011963,P107872,2024-01-05,gem_pack_small,currency,0.99,iOS,TW
TXN00025631,P229629,2024-01-05,gem_pack_large,currency,7.99,Android,BR
TXN00013377,P120102,2024-01-05,season_pass,subscription,19.99,Android,BR
TXN00013573,P122417,2024-01-05,gem_pack_medium,currency,4.99,iOS,IN
TXN00021231,P190991,2024-01-05,speed_boost,consumable,2.99,Android,UK
TXN00010187,P092346,2024-01-05,weekly_bundle,bundle,4.99,iOS,JP
TXN00031379,P280531,2024-01-05,energy_refill,consumable,0.5,Android,MX
TXN00018774,P169678,2024-01-05,starter_bundle,bundle,2.99,iOS,CA
TXN00009819,P089700,2024-01-05,gem_pack_small,currency,0.99,iOS,US
TXN00011966,P107872,2024-01-05,gem_pack_large,currency,9.99,iOS,TW
